ID,score
0,12.109709
1,18.142036
2,17.333681
3,16.67983
4,21.049618
5,19.867105
6,16.192127
7,24.024673
8,15.813891
9,15.301429
10,23.10393
11,20.014843
12,14.362639
13,21.60939
14,13.622746
15,20.400473
16,13.359107
17,25.247885
18,29.802498
19,14.114309
20,13.160608
21,15.648729
22,17.430367
23,11.469618
24,21.909164
25,11.926587
26,19.660168
27,16.442783
28,17.229088
29,16.812454
30,17.96727
31,14.348637
32,17.947216
33,14.580185
34,17.120195
35,16.63445
36,15.571889
37,16.058914
38,12.442577
39,18.158947
40,21.917942
41,16.463676
42,11.22297
43,21.44268
44,23.59616
45,18.75977
46,15.562087
47,18.781914
48,14.161945
49,11.528899
50,21.313118
51,22.452667
52,15.766863
53,13.130127
54,13.572181
55,14.87904
56,20.391382
57,16.822117
58,13.920615
59,14.51777
60,17.585075
61,12.430792
62,14.546105
63,14.240897
64,17.410858
65,25.954918
66,17.024862
67,15.247318
68,16.569891
69,22.047964
70,18.265352
71,19.904976
72,16.16959
73,10.806385
74,13.360616
75,17.826784
76,16.761408
77,15.408871
78,25.32643
79,18.206789
80,18.113926
81,15.678478
82,23.51834
83,23.144289
84,14.166694
85,26.84843
86,15.5740385
87,21.560524
88,18.746584
89,19.807049
90,9.612388
91,22.150986
92,8.411373
93,15.205034
94,14.326958
95,16.527273
96,22.817772
97,14.938814
98,15.652958
99,18.023142
100,23.587576
101,16.918308
102,15.4964695
103,17.065401
104,17.275194
105,14.00916
106,16.925175
107,17.002014
108,19.279419
109,13.7207365
110,15.218776
111,13.82675
112,16.340591
113,14.593802
114,20.33903
115,14.132102
116,13.860586
117,17.772928
118,16.46342
119,18.165476
120,14.874493
121,20.937119
122,18.982538
123,12.783238
124,20.32894
125,20.985437
126,23.93866
127,17.768806
128,17.046509
129,14.483669
130,13.531048
131,19.299423
132,22.23239
133,15.664851
134,11.359876
135,22.751902
136,20.712397
137,14.264557
138,15.54494
139,24.781904
140,17.572287
141,21.222534
142,18.538065
143,15.316636
144,17.777536
145,12.410629
146,20.77665
147,14.627068
148,13.279653
149,25.628696
150,17.58641
151,19.199594
152,14.459853
153,12.705464
154,15.694969
155,15.331709
156,14.74096
157,15.4719095
158,16.18011
159,14.64518
160,17.608473
161,16.42023
162,17.480946
