ID,score
0,15.339531
1,22.579414
2,23.156595
3,26.793377
4,24.866066
5,22.968864
6,22.286472
7,31.376547
8,20.11934
9,18.326178
10,31.434435
11,24.859674
12,17.268934
13,28.407475
14,17.60928
15,25.518696
16,18.126696
17,26.52041
18,33.644268
19,17.771566
20,17.109833
21,19.128006
22,22.85611
23,14.952543
24,26.038902
25,13.897845
26,24.854433
27,22.139791
28,20.675585
29,21.536621
30,21.072277
31,17.924488
32,22.874847
33,18.309576
34,22.248606
35,19.781586
36,18.2852
37,20.687593
38,19.238518
39,22.416624
40,26.05597
41,22.947292
42,14.864043
43,28.129646
44,30.418049
45,25.420803
46,20.724651
47,22.66139
48,17.49656
49,15.825128
50,26.70412
51,26.34758
52,23.521654
53,15.138431
54,16.352375
55,19.479168
56,28.09052
57,21.078001
58,20.443266
59,17.81831
60,22.26891
61,15.515379
62,17.99055
63,19.222404
64,24.049692
65,30.374243
66,21.759674
67,18.601494
68,22.491352
69,29.346073
70,22.75251
71,24.856432
72,22.786192
73,14.442757
74,15.928531
75,24.052711
76,21.444174
77,24.759947
78,32.03643
79,22.219707
80,23.501078
81,20.203726
82,31.332914
83,29.90073
84,18.107243
85,34.50852
86,21.60383
87,26.794956
88,24.667377
89,24.591927
90,13.348232
91,29.78314
92,9.834278
93,18.682127
94,16.340908
95,21.041172
96,28.423174
97,19.296339
98,20.435684
99,25.919344
100,30.967798
101,22.470343
102,18.958172
103,21.004265
104,23.789213
105,18.700891
106,19.555922
107,21.277493
108,23.831568
109,17.057247
110,18.170603
111,16.675478
112,22.15485
113,17.958313
114,25.366919
115,17.528814
116,16.640078
117,24.065674
118,21.429073
119,22.504883
120,19.15115
121,26.820564
122,23.854149
123,15.873104
124,25.525894
125,25.40618
126,36.694695
127,22.291927
128,20.90066
129,17.827482
130,17.533796
131,23.816849
132,26.075748
133,19.191288
134,14.483346
135,27.160929
136,28.840715
137,19.193161
138,17.534374
139,30.470625
140,23.383625
141,24.610224
142,24.752954
143,18.997585
144,21.211992
145,14.705746
146,24.02884
147,17.37023
148,17.2234
149,32.543533
150,21.10332
151,23.17615
152,17.750742
153,15.822205
154,18.808367
155,16.99852
156,17.145084
157,18.975462
158,20.945427
159,19.088243
160,20.672985
161,21.00904
162,26.258097
163,16.1925
164,30.253532
165,20.94065
166,22.064102
167,25.218191
168,15.732681
169,23.784758
170,16.75077
171,21.173376
172,18.941307
173,25.703112
174,26.71661
175,28.466497
176,21.618559
177,19.751602
178,16.249992
179,18.609196
180,28.06627
181,21.389181
182,18.3488
183,17.50195
184,32.247036
185,18.747637
186,18.701815
187,22.55087
188,17.031157
189,18.8224
190,28.710796
191,19.172377
192,23.299809
193,20.492437
194,25.334095
195,16.621948
196,18.551086
197,19.968801
198,21.499615
199,22.386803
200,24.125977
201,23.315735
202,16.402544
203,43.44061
204,26.651634
205,16.601645
206,20.507608
207,16.779913
208,23.676916
209,19.384079
210,27.339094
211,21.691975
212,23.907818
213,25.61472
214,21.522182
215,25.584269
216,16.820108
217,19.422123
218,16.357979
219,20.534077
220,15.902349
221,18.581644
222,23.211985
223,28.643063
224,31.348856
225,21.501574
226,33.133003
227,21.469124
228,27.557726
229,25.147823
230,30.727636
231,22.388266
232,24.068604
233,32.281994
234,20.193712
235,28.546278
236,18.479404
237,17.784866
238,23.057337
239,23.51587
240,19.600786
241,21.061605
242,18.668749
243,24.853653
244,28.068298
245,16.998508
246,23.639078
247,22.85643
248,16.783607
249,22.616327
250,21.885216
251,21.717045
252,21.964128
253,18.805063
254,16.049757
255,24.490417
256,15.516588
257,16.634499
258,26.827778
259,14.103252
260,15.425217
261,22.137493
262,26.932821
263,29.166727
264,22.153423
265,15.820338
266,27.559872
267,20.10604
268,22.607256
269,16.3865
270,25.308296
271,28.234838
272,15.379504
273,14.667098
274,24.31577
275,23.005703
276,23.369455
277,25.685589
278,23.5755
279,23.58272
280,19.232447
281,33.35344
282,24.88242
283,16.688265
284,19.722279
285,22.218397
286,22.826286
287,19.522385
288,23.91497
289,17.82952
290,17.75572
291,27.96202
292,25.416655
293,24.92594
294,24.444595
295,28.310213
296,29.163479
297,18.409163
298,23.104689
299,19.772387
300,26.983418
301,18.13653
302,27.239159
303,23.286423
304,21.421114
305,22.438995
306,16.070671
307,19.79154
308,16.508799
309,24.444334
310,17.70795
311,25.163198
312,26.761744
313,26.098972
314,17.259245
315,19.871998
316,22.399979
317,23.367657
318,23.708714
319,24.037848
320,20.641628
321,24.891193
322,15.612648
323,19.335842
324,29.083015
325,24.7376
326,17.645817
327,24.467438
328,25.018581
329,23.42951
330,23.104748
331,22.969812
332,21.0223
333,22.264503
334,18.50138
335,13.049875
336,15.3649435
337,23.85967
338,19.516584
339,21.533459
340,14.874934
341,22.482283
342,18.385824
343,24.46959
344,21.106594
345,19.50461
346,24.551306
347,22.363924
348,21.462788
349,23.667185
350,20.783072
351,17.84668
352,15.534772
